,RegioS,GemiddeldeVerkoopprijs_1,GemiddeldeWOZWaardeVanWoningen_1,GemiddeldeDoorlooptijd_12
182,Langedijk,351227,30500,23
183,Lansingerland,396044,36000,24
184,Laren,768056,72400,19
185,Leeuwarden,215883,20300,22
186,Leiden,349233,35100,23
187,Leiderdorp,325687,32300,13
188,Leidschendam-Voorburg,340427,33800,35
189,Lelystad,242923,22000,21
190,Leudal,255954,25800,30
191,Leusden,354700,35800,26
192,Lingewaard,290167,28800,13
193,Lisse,353896,32500,19
194,Lochem,365568,35500,20
195,Loon op Zand,306774,29500,21
196,Lopik,350796,32200,20
197,Loppersum,192374,19200,5
198,Losser,247547,26400,24
199,Maasdriel,318200,31800,21
200,Maasgouw,254930,24300,37
201,Maassluis,251727,25200,14
202,Maastricht,283456,28300,27
203,Medemblik,292067,27600,18
204,Meerssen,300239,28500,8
205,Meierijstad,326440,32000,18
206,Meppel,255702,24400,17
207,Middelburg,257953,23100,18
208,Midden-Delfland,399595,36600,22
209,Midden-Drenthe,261194,25300,27
210,Midden-Groningen,206726,19900,
211,Mill en Sint Hubert,312417,29500,24
212,Moerdijk,272935,26600,37
213,Molenlanden,302028,32300,
214,Montferland,277385,25000,18
215,Montfoort,337359,32300,10
216,Mook en Middelaar,339042,32800,41
217,Neder-Betuwe,309005,28300,14
218,Nederweert,283744,31500,18
219,Nieuwegein,278325,26800,13
220,Nieuwkoop,344377,33600,12
221,Nijkerk,354348,35100,18
222,Nijmegen,293780,30000,31
223,Nissewaard,237789,22000,18
224,Noardeast-Fryslân,194819,19600,
225,Noord-Beveland,238056,23500,15
226,Noordenveld,292763,26600,15
227,Noordoostpolder,226690,24800,18
228,Noordwijk,385030,38900,30
229,,,,
230,Nunspeet,326608,32800,17
231,Oegstgeest,432400,45300,19
232,Oirschot,366307,35500,16
233,Oisterwijk,415795,38600,14
234,Oldambt,175832,17300,23
235,Oldebroek,284316,30900,23
236,Oldenzaal,274515,27200,28
237,Olst-Wijhe,307782,28900,12
238,Ommen,277235,28700,35
239,Oost Gelre,258210,24100,44
240,Oosterhout,307380,28800,29
241,Ooststellingwerf,238187,24300,15
242,Oostzaan,429343,37500,19
243,Opmeer,288932,28200,21
244,Opsterland,254852,25300,11
245,Oss,264775,27900,19
246,Oude IJsselstreek,247024,24700,25
247,Ouder-Amstel,494115,49100,56
248,Oudewater,360006,34700,43
249,Overbetuwe,316978,28400,39
250,Papendrecht,256448,25200,20
251,Peel en Maas,279723,28000,22
252,Pekela,161257,15000,30
253,Pijnacker-Nootdorp,375870,35600,15
254,Purmerend,295650,27200,24
255,Putten,398712,38100,23
256,Raalte,285841,29100,13
257,Reimerswaal,217424,23000,8
258,Renkum,352440,34200,51
259,Renswoude,336929,36100,17
260,Reusel-De Mierden,338747,31700,22
261,Rheden,282833,27000,26
262,Rhenen,360623,34500,26
263,Ridderkerk,256618,24800,19
264,Rijssen-Holten,287331,27200,14
265,Rijswijk,280781,28700,17
266,Roerdalen,242138,24500,19
267,Roermond,251213,24400,2
268,De Ronde Venen,444854,40300,18
269,Roosendaal,257331,25800,16
270,Rotterdam,282910,26300,31
271,Rozendaal,667428,51300,31
272,Rucphen,290092,30800,17
273,Schagen,279396,27900,46
274,Scherpenzeel,319781,30200,17
275,Schiedam,220493,21600,19
276,Schiermonnikoog,350824,28100,11
277,Schouwen-Duiveland,303163,29000,19
278,Simpelveld,227444,21100,49
279,Sint Anthonis,319856,32700,18
280,Sint-Michielsgestel,391957,35700,18
281,Sittard-Geleen,218196,21700,19
282,Sliedrecht,257417,24600,19
283,Sluis,246366,23500,27
284,Smallingerland,233493,21900,23
285,Soest,394385,38400,27
286,Someren,317973,32600,14
287,Son en Breugel,400261,36300,20
288,Stadskanaal,185491,19500,12
289,Staphorst,265255,29300,19
290,Stede Broec,270874,24400,39
291,Steenbergen,250782,25100,13
292,Steenwijkerland,250383,26200,16
293,Stein,236204,22900,9
294,Stichtse Vecht,383891,37400,24
295,Súdwest-Fryslân,225650,24300,17
296,Terneuzen,201581,20000,19
297,Terschelling,327548,35000,19
298,Texel,321732,31300,14
299,Teylingen,395293,36900,24
300,Tholen,232909,22100,22
301,Tiel,260785,25400,27
302,Tilburg,265272,26400,19
303,Tubbergen,317491,32100,19
304,Twenterand,248957,25700,16
305,Tynaarlo,309779,30000,13
306,Tytsjerksteradiel,235601,23100,19
307,Uden,304260,30800,21
308,Uitgeest,336959,32400,54
309,Uithoorn,364524,33200,18
310,Urk,243089,23600,22
311,Utrecht gemeente,379770,37400,20
312,Utrechtse Heuvelrug,442777,42400,30
313,Vaals,228667,22400,22
314,Valkenburg aan de Geul,275708,26400,
315,Valkenswaard,302218,31600,22
316,Veendam,187460,17100,27
317,Veenendaal,286669,28600,22
318,Veere,332804,29900,22
319,Veldhoven,351668,34300,19
320,Velsen,343305,33100,24
321,Venlo,245618,24000,15
322,Venray,258421,26700,17
323,Vijfheerenlanden,303974,29600,
324,Vlaardingen,231415,23300,21
325,Vlieland,404084,33400,7
326,Vlissingen,197372,19700,17
327,Voerendaal,274747,26600,38
328,Voorschoten,426883,40400,46
329,Voorst,344667,35200,13
330,Vught,449625,44900,25
331,Waadhoeke,209107,19700,
332,Waalre,434328,37900,19
333,Waalwijk,289596,28000,21
334,Waddinxveen,271966,28000,14
335,Wageningen,312915,32800,44
336,Wassenaar,711264,72200,21
337,Waterland,424174,38800,23
338,Weert,275523,27600,19
339,Weesp,386545,35300,18
340,West Betuwe,341269,31800,
341,West Maas en Waal,308391,28700,16
342,Westerkwartier,240808,24500,
343,Westerveld,279468,30300,13
344,Westervoort,249739,23400,89
345,Westerwolde,210185,20800,
346,Westland,326304,33200,18
347,Weststellingwerf,233375,24200,14
348,Westvoorne,394821,38000,16
349,Wierden,311026,29300,21
350,Wijchen,283747,28400,21
351,Wijdemeren,431841,43100,24
352,Wijk bij Duurstede,329009,31000,21
353,Winterswijk,214007,22600,15
354,Woensdrecht,282366,27500,23
355,Woerden,364273,33400,30
356,De Wolden,290754,30200,15
357,Wormerland,349705,31200,20
358,Woudenberg,367155,34300,19
359,Zaanstad,292803,27200,32
360,Zaltbommel,302713,29400,12
361,Zandvoort,408267,39400,
362,Zeewolde,275729,31000,15
363,Zeist,454469,47100,17
364,Zevenaar,243504,24100,23
365,Zoetermeer,289012,26600,16
366,Zoeterwoude,306316,35000,16
367,Zuidplas,323920,31800,17
368,Zundert,313667,31700,26
369,Zutphen,266585,24600,38
370,Zwartewaterland,241246,24600,18
371,Zwijndrecht,252159,24000,38
372,Zwolle,293098,29500,15
373,Voerendaal,274747,26600,38
374,Apeldoorn,287155,29500,22
375,Noord-Brabant (PV),310254,30900,21
376,Valkenburg aan de Geul,275708,26400,
377,Bladel,334264,32300,19
378,Oost Gelre,258210,24100,44
379,Castricum,369741,34600,21
380,Goeree-Overflakkee,274637,27100,16
381,Tynaarlo,309779,30000,13
382,'s-Gravenhage gemeente,324838,32200,21
383,Vught,449625,44900,
